Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2024-02-29,212992639000,7589000000,45.45,1.759,34.13,None,None,10.46,43.76,0.241,0.368,0.157,0.324,19936000000,15441000000,10.46,-0.498,0.113,619.28,12,17,7,2,0,45.45,26.39,10.65,13.74,10.52,29.33,1.281,638.25,410.7,486.56,548.27,448000000,None,2005-03-24
ADP,Common Stock,Automatic Data Processing Inc,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.",8670,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"ONE ADP BOULVARD, ROSELAND, NJ, US",June,2024-03-31,101872525000,5487200000,27.78,2.671,11.29,5.3,0.0225,8.96,45.97,0.196,0.296,0.0496,0.889,18911900000,8510000000,8.96,0.147,0.066,261.24,1,2,15,2,0,27.78,24.1,5.47,23.0,5.72,18.35,0.785,255.1,201.57,246.02,241.86,409291000,2024-07-01,2024-06-14
ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. is an American company that operates an online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities, based in San Francisco, California.",1559720,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"888 BRANNAN ST., SAN FRANCISCO, CA, US",December,2024-03-31,91715920000,1658000000,19.34,10.04,12.41,None,None,7.47,16.05,0.482,0.0472,0.0456,0.749,10241000000,6900000000,7.47,1.301,0.178,152.41,4,7,27,5,1,19.34,35.97,10.25,12.45,9.47,42.13,1.246,170.1,103.74,157.56,142.22,441500000,None,None
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,2024-03-31,2170051101000,109723001000,26.8,1.644,23.65,None,None,6.53,25.37,0.259,0.325,0.156,0.298,318145987000,156633000000,6.53,0.609,0.154,191.49,14,29,9,0,0,26.8,23.2,6.41,6.92,6.14,19.27,1.019,178.77,115.35,160.61,142.58,5874000000,2024-06-17,2024-06-10
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,2024-03-31,2170058047000,109723001000,27.04,1.659,23.65,None,None,6.52,25.37,0.259,0.325,0.156,0.298,318145987000,156633000000,6.52,0.609,0.154,184.5,6,7,3,0,0,27.04,23.42,6.41,6.99,6.14,19.27,1.019,179.95,115.83,162.07,143.85,5617000000,2024-06-17,2024-06-10
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",December,2024-03-31,1880992907000,96609001000,50.49,2.32,20.83,None,None,3.58,57.13,0.0638,0.107,0.0595,0.203,590739997000,225152000000,3.58,2.167,0.125,209.71,19,39,2,0,0,50.49,44.05,3.369,9.59,3.454,22.21,1.155,191.7,118.35,181.92,156.04,10406600000,None,None
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,2024-03-31,268889342000,3837000000,244.65,0.662,34.73,None,None,0.68,14.11,0.049,0.0066,0.0054,0.0201,22799999000,12051000000,0.68,48.69,0.022,187,14,25,11,0,0,244.65,48.78,11.64,4.721,11.51,62.93,1.66,227.3,93.11,164.47,141.31,1616310000,None,1995-04-27
AEP,Common Stock,American Electric Power Co Inc,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",4904,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1 RIVERSIDE PLAZA, COLUMBUS, OH, US",December,2024-03-31,46898045000,7336700000,16.57,1.751,48.96,3.42,0.0396,5.37,37.01,0.146,0.242,0.028,0.113,19317101000,8414100000,5.37,1.468,0.071,88.78,1,7,11,1,1,16.57,14.62,2.277,1.712,4.546,11.98,0.5,93.44,67.16,86.27,80.8,527122000,2024-06-10,2024-05-09
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,2024-03-31,164063281000,11658000000,43.69,2.387,9.36,8.64,0.0294,7,55.15,0.127,0.133,0.0488,0.726,29532000000,19917000000,7,-0.524,0.22,294.4,5,11,12,2,1,43.69,13.77,5.08,22.99,6.99,13.31,0.599,324.86,205.3,284.71,279.48,536435000,2024-06-07,2024-05-16
ADI,Common Stock,Analog Devices Inc,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.",6281,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"ONE TECHNOLOGY WAY, NORWOOD, MA, US",October,2024-04-30,115375407000,4868165000,54.32,3.614,71.03,3.56,0.0158,4.28,21.05,0.204,0.182,0.0342,0.0601,10464722000,7877218000,4.28,-0.683,-0.338,251.02,9,11,12,0,0,54.32,31.45,8.24,2.682,8.73,18.17,1.144,241.88,153.54,200.61,187.48,496217000,2024-03-15,2024-06-04
